,title,subtitle,link
53,RICH LIST,Micah Richards reveals he was the 'man about town' in Manchester club,https://www.thesun.co.uk/sport/22568246/micah-ricards-manchester-man-utd/
54,TEEN FOR TOON,Magpies close to making £6m Gambian whizkid Minteh their first summer signing,https://www.thesun.co.uk/sport/22563747/newcastle-yankuba-minteh-transfer/
55,CONTENDERS READY,Ex-Prem referee lands huge role on revamped Gladiators replacing 'legend',https://www.thesun.co.uk/sport/22559412/mark-clattenburg-football-referee-gladiators-bbc/
56,POT LUCK,Leicester make move to appoint Potter as boss but face fight with rivals,https://www.thesun.co.uk/sport/22557602/leicester-graham-potter-manager-chelsea/
57,SHEAR JOY,"Alan Shearer told he would have scored 1,200 goals if he played for Pep Guardiola",https://www.thesun.co.uk/sport/22563037/alan-shearer-goals-pep-guardiola-man-city-fernandinho/
58,NEW CHAL-LENGE,Inter want to sign Chalobah in £25m deal as Chelsea reject bid for defender,https://www.thesun.co.uk/sport/22561206/inter-milan-chalobah-25m-transfer-chelsea-brighton-colwill/
59,LIN-GONE,Former Man Utd star Jesse Lingard released as Nottingham Forest let 12 players go,https://www.thesun.co.uk/sport/22558238/jesse-lingard-released-nottingham-forest-12-players/
60,SP£CIAL BRU,Bruno to snub THREE Euro giants to become Newcastle's highest-paid star ever,https://www.thesun.co.uk/sport/22533022/newcastle-bruno-guimaraes-liverpool-barcelona-real-madrid-transfer/
61,ZLAT'S NOT ALL,Ibrahimovic to leave Milan aged 41 as ex-Man Utd star gives update on future,https://www.thesun.co.uk/sport/22569113/zlatan-ibrahimovic-ac-milan-transfer-exit-monza-retirement/
62,MOVE ON RICE,Bayern ‘to sell ex-Prem stars’ in firesale as Germans linked with Rice swoop,https://www.thesun.co.uk/sport/22564391/bayern-munich-gnabry-sane-mane-declan-rice-transfer/
63,ON THE MOVE?,"Man Utd, Chelsea and Spurs in transfer battle for Inter Champions League hero",https://www.thesun.co.uk/sport/22556171/man-utd-chelsea-tottenham-transfer-inter-milan-andre-onana/
64,MESSI GOODBYE,PSG identify Lionel Messi replacement as boss confirms star's last game,https://www.thesun.co.uk/sport/22547235/lionel-messi-transfer-quit-psg-galtier/
65,UNITED LATEST,"Glazers to attend FA Cup final, Hojlund linked, Kane transfer TWIST",https://www.thesun.co.uk/sport/22435954/man-utd-takeover-news-live-kane-transfer-hojlund-mount/
66,ARSENAL LIVE,"Gunners face Caicedo competition, Xavi Simons interest, Declan Rice latest",https://www.thesun.co.uk/sport/22225429/arsenal-transfer-news-live-declan-rice-xhaka-caicedo-latest/
